"country","wind","solar"
"AT",0.262142158243303,0.138874026779603
"BE",0.267974986695896,0.123229341347251
"BG",0.229612486572567,0.152102227355692
"CH",0.181842663179542,0.154536419119325
"CY",0.128838936929604,0.18268483344741
"CZ",0.224534971030043,0.13239180142026
"DE",0.20822380713211,0.124481451773899
"DK",0.290701438178309,0.112338523842117
"EE",0.244589112155296,0.107069818759982
"ES",0.2663184277786,0.167618262320329
"FI",0.31842946832914,0.0945311180983345
"FR",0.246702247826328,0.139732346566279
"GB",0.328127346433945,0.107295071155601
"GR",0.258332127340166,0.162161322866758
"HR",0.139602129042104,0.143328021617614
"HU",0.244947299519634,0.138761660820214
"IE",0.294189946620172,0.108380147729865
"IT",0.195391128764614,0.15494487579854
"LT",0.27017947554388,0.114290051762491
"LV",0.250100473009472,0.108266958276295
"MK",0.108317014774801,0.152431988649327
"NL",0.25725991359886,0.121963755561259
"NO",0.278177134520991,0.0978463523842117
"PL",0.24720148352326,0.120560963523842
"PT",0.270350415621454,0.165972639316678
"RO",0.242742202728035,0.140802275838467
"SE",0.264506084982857,0.0975827558179329
"SI",0.0855440671649154,0.141061737109286
"SK",0.149419795033545,0.134736228753137
